"","item","outfit","outfit_t","outfit_p","outfit_pholm","infit","infit_t","infit_p","infit_pholm"
"1","q1",0.120949101630186,-1.09688810466525,0.0681725773296241,0.756764025069435,0.458362761698619,-2.56729876562891,0.00256235651850593,0.035872991259083
"2","q2",0.827548584391933,-0.540825208136886,0.147157016508392,0.809093638981601,0.943129351424183,-0.493801073630574,0.155361668713642,0.705931191922033
"3","q3",0.866304716865337,-0.353488009724283,0.180930654045631,0.809093638981601,0.94672208201236,-0.412965547178368,0.169907964015727,0.705931191922033
"4","q4",1.21027564793167,0.613726975874353,0.134848939830267,0.809093638981601,1.02341518473442,0.263917518156402,0.19796086913775,0.705931191922033
"5","q5",1.90441884113617,1.5602370737857,0.0296759668885395,0.415463536439553,1.11151840053294,1.0238572042918,0.0764756816008921,0.535329771206245
"6","q6",1.38040700901047,1.11083759221336,0.0666595655256813,0.756764025069435,1.0511056415806,0.445398179661394,0.164008006872838,0.705931191922033
"7","q7",1.03375455778122,0.197456131564817,0.210867651875341,0.809093638981601,1.11061732877264,1.15601300156389,0.0619189597393334,0.495351677914667
"8","q8",1.33534354523551,1.19304826986474,0.0582126173130334,0.756764025069435,1.22099846941973,2.40829276928429,0.0040068306178209,0.0520887980316718
"9","q9",0.750796190680961,-0.494225065702874,0.155286809845573,0.809093638981601,0.86636497268424,-0.840177717293049,0.100202187518057,0.601213125108342
"10","q10",0.525812489369781,-1.10083133076502,0.0677425182665002,0.756764025069435,0.708456701348124,-1.89348150983667,0.0145734662151028,0.160308128366131
"11","q11",0.777251730263236,-0.831626567449822,0.101404940319783,0.756764025069435,0.894355780551128,-1.27787248729051,0.0503235975894352,0.452912378304917
"12","q12",0.856522261672187,-0.366337337312427,0.178528342989876,0.809093638981601,0.95028540371479,-0.575808017791338,0.141186238384407,0.705931191922033
"13","q13",0.537651214547498,-0.947694450137355,0.085821256775741,0.756764025069435,0.769758379646451,-1.3656791493372,0.0430099228916864,0.430099228916864
"14","q14",1.31204373274153,1.15148658060349,0.0623830282111676,0.756764025069435,1.22702306289479,2.2769410865818,0.00569743598186498,0.0683692317823798
