item.ID,item.name,cons.ID,item.type,fixed,cat1,cat2,cat3,cat4,cat5
1,q8,22222,MC,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2,q12,22222,FR,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3,q13,22222,FR,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
4,q14,22222,MC,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
5,q15,22222,MC,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
6,q16,22222,MC,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
7,q17,22222,MC,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8,q18,22222,MC,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
9,q19,22222,FR,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
10,q29,22222,MC,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
11,q31,22222,MC,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
12,q33,22222,MC,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
13,q34,22222,MC,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
