,q8,q12,q13,q14,q15,q16,q17,q18,q19,q29,q31,q33,q34
110,4,4,4,5,5,5,5,5,4,5,5,5,4
111,3,1,2,4,2,5,5,5,4,NA,NA,NA,NA
112,3,3,3,4,2,4,3,4,4,NA,NA,NA,NA
113,4,4,4,5,5,5,2,4,4,5,5,5,1
114,2,1,2,4,2,3,2,4,NA,NA,NA,NA,NA
115,3,NA,1,2,1,4,2,4,NA,NA,NA,NA,NA
116,4,NA,NA,4,2,4,2,4,4,NA,NA,NA,NA
117,3,3,4,4,3,4,4,4,4,NA,NA,NA,NA
118,3,1,2,2,1,3,3,4,4,1,2,5,1
119,1,3,3,2,3,3,3,3,4,2,4,2,3
120,5,4,4,5,5,5,4,4,4,NA,NA,NA,NA
121,4,3,4,3,2,4,2,4,4,NA,NA,NA,NA
122,3,3,4,5,5,4,2,5,4,5,2,5,4
123,3,3,4,4,2,4,3,3,4,NA,NA,NA,NA
124,3,2,2,1,2,3,2,3,4,4,2,5,1
125,2,1,2,1,1,4,1,1,4,1,1,1,1
126,3,3,4,4,5,3,3,3,2,NA,NA,NA,NA
127,2,NA,4,4,5,5,2,4,NA,NA,NA,NA,NA
128,3,4,4,4,5,5,4,4,4,NA,NA,NA,NA
129,3,3,4,4,5,1,4,4,4,2,4,4,3
130,5,3,4,5,1,4,4,4,4,4,5,5,4
131,2,3,2,2,2,NA,2,3,4,1,2,1,5
132,5,4,4,5,5,5,4,5,NA,5,5,5,4
133,2,3,4,4,3,3,3,3,2,2,2,2,3
134,3,4,4,4,4,4,4,4,4,4,4,5,3
135,4,3,4,5,5,5,4,5,4,3,5,5,4
136,4,3,3,4,4,4,4,4,4,4,4,4,4
137,3,4,3,4,2,4,3,4,4,4,4,5,NA
138,1,3,2,2,5,3,3,5,4,NA,NA,NA,NA
139,4,NA,NA,4,5,4,4,4,4,NA,NA,NA,NA
140,2,1,3,2,1,3,1,3,2,NA,NA,NA,NA
141,4,2,4,5,5,4,2,4,4,4,4,3,4
142,1,4,4,4,5,4,3,4,4,NA,NA,NA,NA
143,4,3,4,5,5,3,5,4,4,3,4,5,4
144,4,3,4,4,5,3,2,4,4,2,4,5,3
145,1,2,2,3,5,3,4,3,4,NA,NA,NA,NA
146,3,NA,NA,3,5,3,3,3,4,NA,NA,NA,NA
147,3,3,NA,4,5,4,4,3,4,4,2,5,3
